Index,Date,T_Index0,T_Index1,T_Index2,T_Index3,T_Index4,T_Index5,T_Index6,T_Index7,T_Index8,T_Index9,T_Index10,T_Index11,T_Index12,T_Index13,T_Index14,T_Index15
0,2009-05-04,-0.017756393746552183,-0.025686049432094685,-0.015586053642458044,-0.015311696641142722,-0.025521018596686797,-0.006002000779156602,-0.018555272319951896,-0.022341572145255246,-0.018479031250680483,-0.012481579186706265,-0.019984994483992217,-0.019201560103904884,-0.028685182275211517,-0.019426637982314605,-0.011090956693448605,-0.03281907465466514
1,2009-05-05,-0.021102406978867137,-0.028062826007442147,-0.028624531183048103,-0.02709330938468172,-0.028411676160654886,-0.008185491105469515,-0.02236290377388253,-0.019660459726451234,-0.02384220422633532,-0.018467708326654987,-0.021046329546705496,-0.028344104053676867,-0.02967630677332027,-0.028424576600095907,-0.013745394449538614,-0.04374341486473971
2,2009-05-06,-0.020850876867889712,-0.028980431996376177,-0.023334942802672214,-0.025102109331149203,-0.02834340117434327,-0.008459390058008354,-0.02589474378252819,-0.02333643993072807,-0.019375205229831414,-0.01707507161473478,-0.025707266162141897,-0.026564229185553873,-0.03266956292537468,-0.030531109178608434,-0.013973511553525891,-0.04226705106041586
3,2009-05-07,-0.01790697004557983,-0.03009479452448047,-0.022087327610893204,-0.025087749491847125,-0.03918396506635509,-0.00892174104671202,-0.02519006838785833,-0.029795662965650484,-0.023635848256255775,-0.011690127954468546,-0.02560490252878926,-0.033814850879685665,-0.03316396862884049,-0.03160658482344124,-0.016807885241863482,-0.04842732129468161
4,2009-05-08,-0.016708676575527905,-0.026804452365710087,-0.023566937113271604,-0.016572052337450627,-0.02271886580657494,-0.006902059704358714,-0.020983535589742263,-0.014760080220351584,-0.013056695314427649,-0.014569387326892603,-0.023270347379971065,-0.02430234234201846,-0.027105349731968185,-0.027144408365886018,-0.012522947462587095,-0.03898595181889751
5,2009-05-11,-0.02480440246152416,-0.029537543184136025,-0.02828022190985283,-0.02067586952174948,-0.03144663346054814,-0.006359442338770751,-0.021194536196041124,-0.020876608905930585,-0.022484775419803326,-0.021108372843749033,-0.024873909922530996,-0.026795570555432698,-0.03376380020511826,-0.031559564070422895,-0.013252683889840989,-0.04418007933272759
6,2009-05-12,-0.022821526104196698,-0.03019140157012757,-0.02983674051480599,-0.02524604595500955,-0.02541789526515207,-0.008940653686957192,-0.02041223954386251,-0.02206435198634511,-0.016741750845256614,-0.020772658411162687,-0.025536894453864086,-0.028774863959544452,-0.029510282966048004,-0.032106176812112655,-0.012856623562763519,-0.042898695251965276
7,2009-05-13,-0.025585299917106567,-0.03385369617794627,-0.03493029291629379,-0.03678952375607369,-0.036460674065879134,-0.009062619774369004,-0.03069559548806069,-0.02598804804903298,-0.026489310939843,-0.020938815141750368,-0.03289519028102057,-0.037524418752765465,-0.034648514295666163,-0.041929543740870885,-0.01604458492534769,-0.05323710108651077
8,2009-05-14,-0.017383460420711885,-0.029583970843027586,-0.023335750675953164,-0.02272741037178505,-0.027127980524085944,-0.008164591981474114,-0.02389589999977528,-0.021622222731678492,-0.01761661130337813,-0.015812459527650858,-0.029231488144368337,-0.0235067119163028,-0.02713337530411322,-0.0304884102069492,-0.012554764437668094,-0.04223832074714666
9,2009-05-15,-0.02101300773295922,-0.031180657662339732,-0.03080357826216375,-0.0310976123715445,-0.03350064035958203,-0.011545811294818445,-0.026425375924860342,-0.024151937473366202,-0.02182002695159205,-0.018576249436456603,-0.027990475562103424,-0.030167968939266192,-0.03124982368168063,-0.038906979784697024,-0.016005325466735637,-0.049212068571172024
10,2009-05-18,-0.017674072046789384,-0.03015368056922026,-0.028309162361689934,-0.030377909858567472,-0.035731742020175705,-0.008648862792319386,-0.02765563465317652,-0.02575901774504641,-0.021062783009601606,-0.013242470391532497,-0.028423062040957032,-0.03745251777243492,-0.02955163721742039,-0.03594792581817581,-0.015218639703935999,-0.048714905923067126
